pre_exclusion_participant_id,participant_id,start_date,end_date,q_duration_in_sec,confidence_1,demanding_1,helpful_1,process_1 ,design_1 ,confidence_3,demanding_3,helpful_3,process_3 ,design_3 ,confidence_2,demanding_2,helpful_2,process_2 ,design_2 ,confidence_4,demanding_4,helpful_4,process_4 ,design_4 ,confidence_7,demanding_7,helpful_7,process_7 ,design_7 ,confidence_12,demanding_12,helpful_12,process_12 ,design_12 ,description,most_helpful,least_helpful,most_confusing,prgm_interface_both,prgm_interface_both_explanation,sus_frequent,sus_complex,sus_easy,sus_support,sus_integrated,sus_inconsistency,sus_quickly,sus_cumbersome,sus_confident,sus_learn,age,gender_mc,gender_text,education,cs_position,cs_class,cs_experience,ifttt_familiarity,owned_iot_mc,owned_iot_text,feedback,prolific_pid,interface,task_1_choice,task_1_time_ms,task_1_condition,task_1_correct,task_12_choice,task_12_time_ms,task_12_condition,task_12_correct,task_2_choice,task_2_time_ms,task_2_condition,task_2_correct,task_3_choice,task_3_time_ms,task_3_condition,task_3_correct,task_4_choice,task_4_time_ms,task_4_condition,task_4_correct,task_7_choice,task_7_time_ms,task_7_condition,task_7_correct,task_1_used_prgm_button,task_2_used_prgm_button,task_3_used_prgm_button,task_4_used_prgm_button,task_7_used_prgm_button,task_12_used_prgm_button,tut1,tut2,tut3
31,25,2020-08-17 18:48:27,2020-08-17 19:25:42,2234,1,6,2,"I chose the answer that turned off the faucet when Alice left the bathroom since that was her only modification. The original program did not match this need, so the modified one was the correct choice.",Nothing for this task!,5,4,3,"I based my answer this time off of what exactly would happen, given that I wasn't sure if the modified program was still going to work or not as the original","I am still a little confused on the ""outcome"" statements",2,5,3,"Since someone was home in every situation, then it was easy to choose the right answer of having the AC on in each situation.","I think I am understanding the ""outcomes"" more now, but it is still a little confusing with the way it is set up",5,4,2,"I picked the answer choices that only had one window open at a time in the outcome, as that was the only requirement. I didn't take into account any of the options that opened and then closed a window, as that would be fine too.","It was difficult to understand what ""outcome"" exactly meant, as I wasn't sure if it was referring to the end of the ""then X would happen"" or if it was the final outcome after all the ""then"" statements.",2,4,3,"I always chose having the TV on over everything else, and so that eliminated my TV off options. Then, it seemed like the Roomba and windows were both trying to open/turn on at the same time, so I always chose having the window open when the TV was on over having the Roomba be on. Therefore, that is why I chose the middle answer every time.","With more practice, the interface is becoming easier to understand",2,3,3,"In the outcomes that I chose, it did not matter what was Off, just that something was. So I always chose the outcomes that correlated with something being off, rather than them all turning on.",The information provided on the time of day and whether or not Alice was home was not necessary to complete this task,"First, I would read the task, focusing on the blue words specifically asking for a certain task in the program to be implemented. After closing out of that tab, I would scan all of the devices in each scenario to see what was already present, what was changing, and then look at the highlighted responses in the outcomes to decide what best fit the scenario I was looking for. I would click the checkboxes for what I believed were the correct outcomes and then move on to the next scenario. At the end, I chose the answer that best fit the modification or program that was suggested by the interface.",I found the highlighting of what changed to be very helpful. That way I could easily scan what had happened and chose the best outcomes based on what modifications I wanted for the program.,"I think the ""programs"" tab was the least helpful. There were tasks unrelated to my desired one when I was looking through them, which made it not as helpful as going through the selection process in the interface.","The 3rd ""outcome"" portion was a little confusing at first. I eventually figured out that I wanted to select the best scenarios in which gave the responses I wanted, rather than what was going to happen based on the flow diagrams for each scenario regardless of the program.",2,"There were a lot of unrelated outcomes in here, so it was easier to filter things out specifically by what scenarios fit my expected programs and modifications",8,10,7,11,8,12,8,10,8,10,1,1,,3,2,2,2,2,2,,,5e99d4c77224cb03a73a2943,Questions,[1],30541,1,1,[1],123305,1,1,[1],75849,1,1,[-1],73651,1,1,[2],195833,1,1,[14],122209,1,1,0,1,1,1,0,0,1,1,1
32,26,2020-08-17 18:49:07,2020-08-17 19:28:07,2339,1,7,2,"There was only one task in this mission, so it was easy to identify if the program worked. I just looked at the result, and it fits Alice's needs.","The interface was easy enough to understand because there was only one situation, one modified program. I needed to only compare one vs one.",1,6,1,"I had to analyze the situation from start to finish, so I ran the simulation in my head. This was easy as there was only one situation. I was able to recreate the story in my head and find that the modified program does not work.","The interface helped, as there were less variables. I could focus on the one situation and identify faults with the second program as there were only two to compare.",2,5,3,"I only had to find out if there was someone at home, and if the ac was on. I just looked to see if the ac was on when someone was home.",The interface helped because it was not confusing at all. The ability to compare only one program at a time was useful as it was not confusing.,1,5,2,"After seeing everything was basically similar, except for the end result, I focused on that. The end results for program 1 had two open windows (wrong). But program 2 always ended with one open window (correct).",The interface allowed me to identify what was same/different across the programs and situations.,6,1,5,"I had to figure out the layout, which took time. Then I just looked at the end results, changing only one side of the comparison. I looked to see if all situations were correct.","The interface hindered me because there was no ""original"" program to compare to. Instead I just used program one as an original and looked at the second program's results.",2,5,3,"I looked at the end result, and checked to see if there was at least one appliance that was off in each situation. If there was at least one off, the program satisfied the desired conditions.","The interface was simple enough to understand, and I was easily able to identify if there was at least one off appliance.","First, I would start at program 1. I would read the situation and visualize it in my head. Then I would continue to the modified program, and see if it fits the use-case that Alice wants. I do all of this by running a simulation through my head. After a while, it becomes relatively automatic when I can identify a single variable that has to be TRUE/FALSE in order for the solution to be right or wrong.","The ability to only compare one program to another program was useful as I only had to deal with two programs at once, and usually I can ignore the original program as it does not work most the time.","The beginning of the lines were mostly the same, and gave me redundant information most of the time.",It was confusing to compare two different programs when the situations change every time. ,2,The interface was useful as it provided a graphic and separates each component in the smart home.,10,8,8,12,8,10,7,9,7,7,1,2,,2,2,1,2,2,1,"Amazon Echo, Google Home",,5ed91329121d6e0a30cfdc14,Flowcharts,[1],15415,1,1,"[1, 2]",153032,1,0,[1],66137,1,1,[-1],43564,1,1,[2],83715,1,1,"[2, 4, 5, 10, 11, 13, 14]",438361,1,0,0,0,0,0,0,0,1,1,1
33,27,2020-08-17 18:52:58,2020-08-17 19:28:25,2126,1,6,5,"I compared the modified program and the original program. They were the same, except the modified program turned the faucet off when Alice left the bedroom, which is what we were looking for. ","The design hindered my ability, since I had to keep going back and forth between the program to compare the lines and see if the modified program did the same as the original.",2,3,2,"I read through each of the programs lines, and determined that it did what Alice wanted it to do to keep her safe.","It helped since it was simple and not too complicated. It looked a little overwhelming at first, but its not really.",2,5,4,"The second program couldnt be correct, since it didnt allow for the person in the house to freely change the ac, since if someone wasnt home, the ac would turn off, while the other one did allow the person who was home to change the ac while the other was out.","It didnt help, but it didnt hinder me either. It was just there.",3,4,4,"I just read through the program lines, and looked at the task, and tried to see which would allow only one window to be open at a time. The second program had a line that didnt include all 3 windows, so I thought that maybe that could fail to meet alice's expectations.","The interface isnt  helping, but it isnt hindering me answering the question. It just looks a little overloaded sometimes.",1,4,3,"I looked at the task, and I thought to myself what would need to happen for the task to be achieved, and I started looking through each program to find the correct one."," The interface was fine, but it didnt really help to find the result quickly, since I had to click on each program in the dropdown. Maybe a next arrow would be better.",5,3,7,"I tried to see that the lines, if turning something on, turned something off while they did it. And both programs did that, if something turned on, something else would turn off. So that would mean something is always off.","The interface was not helpful as it was tedious to look through everything, and almost confusing as there was just too much and it was too barebones to actually be useful. It made one doubt themselves as it was just too much.","First, I would click on the green button on the left of the screen to find my task. I would read my task in the pop up that came up, then I closed it with the X in the top right corner. After that, I would look at the program and its lines on the screen. I would read the lines of a program, and when I was done, I would click on the drop down at the top of the screen. I would then select the next program and read its lines, so on and so forth. After this, I would scroll down and select my answer from the question, and press submit on the right of the question.","It was laid out well, and everything was easy to read. Every line was separated by a line, which helped show which section was which. Everything was easily readable.  ","The interface only had a dropdown menu, which made it very tedious to go back and forth between tasks, and it was just very barebones.","Sometimes, the lines contained a lot of information, and it started to look very cluttered at one point, which started to confuse and overwhelm me.",2,"I just didnt see a use for the programs button on the side of the screen, and it also wasnt really used in the tutorial. So I just stuck with what I knew from the tutorial, and that worked for me.",11,12,8,12,7,9,7,7,9,12,1,2,,2,1,2,2,2,1,"Smart fridge, alexa",,5e9b44743ed5ca041adb1830,Rules,[1],48484,1,1,"[1, 2]",178131,1,0,[1],104051,1,1,[1],111081,1,0,[1],109415,1,0,[14],174962,1,1,0,0,0,0,0,0,1,1,1
34,28,2020-08-17 18:49:05,2020-08-17 19:28:29,2363,1,6,2,I only chose the outcome where the faucet would be off when the person leaves the bathroom.,Unsure,1,5,2,I selected only the outcomes where the camera would record while the front door was unlocked.,Unsure,2,3,2,I selected only the outcome where the AC would be ON while one of them is home.,Unsure,1,3,2,I looked only for outcomes involving only one window being open.,Unsure,3,2,2,I considered only the outcomes where the TV is ON.,Unsure,1,5,2,I selected only outcomes where not all appliances would be ON.,Unsure,"I clicked Task Information the top left corner, to see what conditions are to be met.  Then I would only select the outcomes that fulfilled all of the conditions.  In case none of the outcomes would be fulfilled, I would click to toggle the switch to the right to indicate that it would fulfill none of the outcomes.",I am not sure.,Unsure,Unsure,2,The interface in the middle of screen appeared to provide everything I needed.,7,10,7,10,7,11,7,10,7,9,2,2,,2,1,2,2,2,2,,No,5de7389d3cf2796bf92fb918,Questions,[1],68761,1,1,[1],287334,1,1,[1],110813,1,1,[-1],68843,1,1,[2],266241,1,1,[14],249956,1,1,0,0,0,0,0,0,1,1,1
35,29,2020-08-17 18:47:56,2020-08-17 19:28:44,2448,1,7,2,The instructions just asked for a single line of code to be added to the new program and it was.,Being able to have both pop-ups open at the same time was helpful in reviewing the functions both programs had.,1,7,4,"The program just needed 2 functions, but the modified program only had one function.","It told me that the modified program added nothing, but instead deleted a function.",1,4,3,Both programs only had 1 setting on it while the instructions stated that Alice wanted 2 functions to the program.,It helps to show what is actually in each program.,3,3,2,"The first program had a function where if one of the windows was open, another one would also never close so 2 windows could always be open. The second one had more restrictions to make sure only one window was open.",It did help to tell if what was added was necessary.,1,4,3,"The programs requested were ones that put the TV above all else and for the window to be above the roomba. Only programs 5,8,14, and 17 made sure to prioritize having the window open over the roomba being on.",The dropdown menu kinda sucked when trying to check all the functions.,2,3,3,Only program 1 had a function to make sure that at least 1 device would be turned off and they could never be all on at the same time.,It told me that only program 1 had a function.,"I would always look for the instructions at the top left of the screen first. Then I would use the dropdown menu on the right to check on the programs. I then determined if the adding of a green function by a new program and/or the deletion of some original functions would appease the instructions stated. If they did I clicked one of the options at the bottom of the screen(1 is correct, 2 is correct or neither or 1 of many) and click confirm.",The green and red boxes were very helpful to make sure you don't get anything wrong about what was added or wasn't.,The dropdown menu needed  to be bigger or actually highlight the program you were currently on. It just kept jumping down during the last one with 27 programs.,I was confused at first about the grey spaces at first. Not sure if they meant they deleted functions or said functions on the left were still there.,2,The programs by themselves had a bit too much extraneous info that wasn't needed so it was only really useful if there was some confusion.,9,10,7,11,7,11,6,12,7,11,2,2,,4,1,1,2,35,2,,,5dd6b6749ca8a364357fd923,Property-Diff,[1],46099,1,1,[1],177117,1,1,[],109811,1,0,[-1],52268,1,1,[2],166411,1,1,"[5, 8, 14, 17]",289447,1,0,1,1,0,1,0,1,1,1,1
36,30,2020-08-17 18:53:18,2020-08-17 19:29:23,2165,1,6,6,"Both programs had the initial ""Alice is in bathroom"" and the outcome of ""Alice not there"" after she leaves. The modified program also turns off the faucet after she leaves, which is an additional feature that the original program lacked.",The design or interface was fine but it was confusing at first to figure out which line connects with which and what the paths are.,1,5,4,The modified program does not accomplish her goal because it has the security camera off although the door is unlocked.,"The design of the interface allowed me to compare the programs. It seemed weird at first, but it was useful.",1,5,4,"In program 1, the AC is on whenever either one or both of them are home, but for program 2, the AC turns off when one person is still home. ",The interface allowed me to see the outcomes combined together. Its design did not really help nor hinder my ability to answer this question. ,1,6,5,I just selected the program that always only has one window open as the outcome.,The interface was sometimes hard to click and registers wrong(eg. clicks wrong button).,3,1,2,I immediately removed the programs that would turn off the tv at anytime. Then I selected programs that had either TV and Roomba on or TV and window open. ,The interface did kind of help me make the decision because it allowed me to compare different programs.,1,2,4,I just checked every situation and made sure that none of the programs have all devices on at the same time. ,The interface did not really help nor hinder my ability to answer the question. ,I looked at the comparisons of the different programs and the different outcomes to assess whether the program meets her requirements. I also eliminated programs that had faulty outcomes(eg. A & B together as outcome even though they shouldn't be).,The comparisons and the directions were the most helpful.,The scrolling for the different programs were the least helpful because it took a long time to scroll when there is a long list of programs.,I found the blue dots and the line intersections the most confusing. ,2,"I relied more on the interface on the middle of the screen because it's easier to just focus on the outcomes that way and see whether it meets the conditions or not. Also, the interface is a visual compared to the 'Programs' which is just text.",10,12,8,11,8,10,7,11,7,11,3,2,,2,2,3,3,2,2,,,5ee6b76cd25171439dd7004f,Flowcharts,[1],66117,1,1,"[1, 2]",158521,1,0,[1],63135,1,1,[-1],92401,1,1,[2],66460,1,1,"[1, 2, 5, 10, 11, 13, 14, 17]",475215,1,0,0,0,1,0,0,0,1,1,1
37,31,2020-08-17 18:51:11,2020-08-17 19:30:05,2333,1,1,1,I just tried to see if the rule was added without changing the window setup,I thought it was easy as there wasn't much to read through and compare,1,3,3,"I just tried to not of the camera was on and if the vacuum was off, which it seemed to be",Its side by side was a little hard to read through and compare,1,6,1,"Neither program seemed to address the issue of having the AC on with just Bobby in the house, so I felt none of them addressed the issue",I felt the condensed format made it easy to review the programs,1,2,3,"I tried to not in each program if at least one window stayed open, it appeared that both programs would accomplish that",It felt a little cluttered and I had to take my time to read through the programs,1,1,3,I tried to find the routine that would only shut off the Roomba,It was a little tedious going through each rule,1,2,4,"I found it was a lot to read through. I just looked to see if an automated item shut off, and if it did I thought it would suffice","It was too much scrolling, and it was hard to compare","I first looked at the instructions. After getting the scenario, I looked at the original program followed by the others. If necessary, I would go back and compare. The last task I went back from 27",The shorter lists were very easy to read and comprehend,When it was a comprehensive list and you had to scroll to view everything,I wasn't confused,2,Probably because my eye was naturally focused on the middle,9,8,9,12,8,10,8,8,7,12,2,1,,3,2,1,2,2,1,"Goggle Home, Echo",,5e90031ac75edb305da74300,Rules,[1],43314,1,1,"[1, 2]",202557,1,0,[],73240,1,0,[1],121076,1,0,"[1, 2]",150702,1,0,[14],447338,1,1,0,0,0,0,0,1,1,1,1
38,32,2020-08-17 18:49:05,2020-08-17 19:32:41,2615,2,2,2,I assed the different situations and analyzed the different outcomes based on the program that I selected. I used my deduction skills to decide which program was correct.,"The design was the same as the last task, it was easy to understand.",2,4,2,I assed the different situations and analyzed the different outcomes based on the program that I selected. I used my deduction skills to decide which program was correct.,"The design was the same as the last task, it was easy to understand.",2,3,2,I assed the different situations and analyzed the different outcomes based on the program that I selected. I used my deduction skills to decide which program was correct.,"The design was the same as the first few tasks, it was easy to understand.",3,2,3,I assed the different situations and analyzed the different outcomes based on the program that I selected. I used my deduction skills to decide which program was correct.,"The design was the same as the last task, it was easy to understand.",3,2,4,I assed the different situations and analyzed the different outcomes based on the program that I selected. I used my deduction skills to decide which program was correct.,It wasn't an interface problem but more of an issue with the question. The question required me to go through too many programs which was annoying. ,2,2,2,"I reviewed each situation and how the programs affected the situation. Based on the outcome, I judged whether the program was doing what Alice wanted or not.",The UI was very friendly and easy to understand. It only helped me understand the question.,"I was given 6 tasks. I first had to click on a link to be taken to the task. Once I saw the program interface, I would assess the flow chart and make a mental note on if the program works or not. Then I would select the next program in the top right corner. I would do the same as the first program. If there were more programs I would continue this process. If there were no more programs to asses I would continue to the question at the bottom and answer. Then I would press submit. I would go back to the initial page and answer a few questions about the task. The questions were basic and just asked about my decision-making process. I did this for 6 individual tasks.",I think the simple layout was the best part of the interface. It made it very easy to navigate and find what I needed.,When there were a lot of programs to choose from it was annoying and not very helpful.,When there were a lot of programs to choose from it was confusing.,3,The programs and interfaces both provided the info in different methods that made it easier to understand the question as a whole.,8,9,9,8,9,8,9,8,9,10,1,2,,3,1,1,1,1,1,"Nest, Google home, Ring, chromecast, nest cam, google home mini. ",Nope,5f27391af3b6ba525a9802c6,Flowcharts,[1],16333,1,1,[1],76588,1,1,[2],51776,1,0,[-1],13552,1,1,"[1, 2]",97831,1,0,"[3, 22]",63110,1,0,1,0,0,0,0,1,1,1,1
39,33,2020-08-17 19:04:15,2020-08-17 19:32:40,1705,1,7,2,"it wasn't as hard as some of the other tasks, and seemed straightforward about selecting that if she left the bathroom the faucet should turn off","it made it really straight forward, faucet on in the bathroom, faucet off when she leaves the bathroom",1,6,2,"it seemed like reading the modified program that it was set up correctly, but in case i still looked at everything and checked to make sure if the doors unlocked that it would record",it helped by being able to see what the outcomes would be,5,1,2,"i tried to base my answers based on what she wanted. I assume bobby wanted the ac to be turned on, so if he was home it should be on, and if alice was home it should be on.","it made it seem somewhat more complicated to me, then just letting someone have access by password or something.",2,1,1,"i based it off if one window opens, the other should close, even if its ok to have 0-2 windows open i think the original attempt should always be to have one window open
",it helped me see what would be open or closed in the long run and what would change things,5,1,3,"it seemed really complicated with all the added information. But any time the tv was on if the roomba turned on i had it turn off, or if the tv turned on turned the roomba off.","It provided quiet a bit of information, which although nice, seems overly confusing towards the end if its way below the other items percentages.",1,1,1,"i followed the guidelines that listed what could be on or off at the same time, including ignoring the items that weren't included in the list",it really helped to show which items were on or off at a certain time because it was a huge amount of items. having it broken down made it easier to read,"first i would look under the task instructions to figure out exactly what she was trying to change. then I would check the original program versus the modified to see what information it could provide me with. when all thats completed i would look at the ""if this were to happen"" and then view the list of what each program would do for each set up. After finding one or more that matched to what she wanted, I would wait to see what % matched her wnats the most and I would select those programs. Then I would answer why it seemed to be that program was the correct answers and have confident I was that it was correct. ",Seeing the % that matched what she actually wanted to it to do versus what % the other programs were close to matching.,"I didn't really find any part of them to not be helpful, they all seemed to serve a purpose for this task.","The program listing for the 20 something programs was just the most confusing part, because it was to many programs shoved in the box that did not meet a certain % and probably could have been excluded. ",2,It seemed to be the easiest to read and was the most convenient to look at for information. ,8,10,7,12,7,12,6,12,6,10,2,1,,2,2,2,2,1,2,,none,55afe01bfdf99b4ba8045bea,Questions,[1],62480,1,1,[1],166540,1,1,[1],103223,1,1,[1],87057,1,0,[2],109843,1,1,"[5, 11, 13, 17, 23]",106157,1,0,0,0,1,1,0,0,1,1,1
40,34,2020-08-17 18:49:31,2020-08-17 19:33:34,2642,1,3,1,"I first checked the original program tasks against the modified program tasks. I checked (1) the lights related one and then (2) the three rain/window related tasks. Once I confirmed they were all the same, I moved on to the second part - adding the additional task correctly. I figured out what it should look like, then confirmed the Modified Program had that rule. I confirmed that it did.","It was easy to toggle back and forth. The difficulty was upped because the rules weren't in the same order. It would be easier to read the way the Original Program did, listing all the same ""if"" together (e.g. if it rains then....) and then moving on to the next ""if"".",2,2,2,"There was a relatively simple goal, so I began reviewing the Modified Program. Since it was about the goal, I did not review the Original Program first. I noted right away that there were some rules that were irrelevant and many rules that had the same outcome just said many different ways. I was looking to confirm that there was a rule for asleep and unlocked, regardless of the sleep and unlocked status for the other rules.","Many rules did the same thing and were just set up differently, with the same outcome. made it difficult to see what the outcomes were.",1,3,2,"I saw that the Original Program had ""extra"" tasks unrelated to the Instructions. I therefore only reviewed rules that related to turning on and off the AC. I ignored the others. In Program 1, I saw that the AC was only to turn off per the rules when neither Bobby nor Alice were home. If one of them was home, the AC would not turn off. Then I reviewed Program 2. Program 2 had a rule where the AC would turn off when Alice left the home. This did not resolve the issue with Bobbie, therefore, it did not meet the requirements for the prompt.",It would have been easier if able to sort through rules to only view the relevant rules.,2,3,2,"For this task, it was clear that each rule needed to be evaluated individually. Therefore I just went one by one checking to be sure that only one window was open at a time. Once I checked all of Program 1, I confirmed that each rule led to only one window being open at a given time.","One thing I wasn't able to track was whether every possible combination of windows open or closed correctly. There was many rules and the many combinations, plus the bathroom/bedroom lookalike words made it difficult to see. ",1,2,2,"I understood that the only ""then"" outcome that was appropriate was for the Roomba to turn off, because the TV could never be interrupted and the priority was window > Roomba. I looked that the outcome for each Program and identified the one that only had ""turn off Roomba"" as possible outcomes.","Easy layout, but the difficulty was when switching between Programs on the drop down. The drop down doesn't pick up where you left off (e.g., I'd be on Program 8, and when I went back to the drop down, the top option was Program 11) so I had to continually do extra scrolling. That was annoying.",2,1,2,"I understood there to be six appliances, and one needed to be off at all times. Therefore, for every appliance there had to be a rule where if one turned on, another turned off. When reviewing the programs, I saw that the rules were further split by whether or not Alice was home OR what time of day it was. Therefore, I was reviewing to see which Program had a rule for each appliance that covered a full 24 hours in the day. It appeared that both did.","The ""if"" rule was not always applied to both appliances at the same time. For example, it was Smart TV - Speaker - Speaker - Smart TV. That was not the logical progression so made me look closer. Another issue is that the second column combines different types of rules, and it can feel overwhelming. For example, I think of home/not home and daytime/nighttime as different outputs than ""Appliance On/Off"" so having to read them all together in a column adds confusion.","First, I would click on the instruction button on the left side of the screen. I would read the instructions. I would then think about the task and, once I understood what the interface looked like, I would visualize what the necessary rules would be.  I would then review the Original Program by reading each rule from left to right, if necessary for the prompt. I would then review each of the other programs by using the drop down feature at the top center of the screen. I would review one by one, each rule in each program left to right. I would usually review the answer choices at the bottom of the screen as well, to understand what the answer needed to be (e.g., Either/Neither/Both) vs. a list of programs that worked. Once I identified a program that either worked or didn't work, I would make a mental note of that program and move on to the next using the drop-down. Once I had answered the prompt, I would submit.","Left to right reading of the rules, columns, small ""emojis"" as visual queues.","No sorting of the ""if"" column to create a sense of order, extraneous rules unrelated to the prompt, drop down menu could be finnicky. No ability to sort.","The ordering of the rules, and the fact that there could be many ""then"" parts of each rule that were categorized separately.",2,I didn't even think to use the Programs button. ,7,7,8,6,9,7,9,7,10,7,2,1,,6,2,2,2,2,1,Nest and Alexa,,5f27650354adfb12ed0d5f43,Rules,[1],62645,1,1,"[1, 2]",203687,1,0,[1],59782,1,1,[1],194616,1,0,[1],262432,1,0,[14],210659,1,1,0,0,0,0,0,0,1,1,1
41,35,2020-08-17 18:49:29,2020-08-17 19:33:35,2645,1,6,2,reading each step to make sure all was done at the given task at hand,it helped to see the item listed,3,3,5,Too many steps to change the interface.,Not very user friendly,2,2,2,Simple steps to control only 1 item,not too many options made it easier to choose,2,2,2,Easier to control windows and make sure at least one is open,Somehow the types of windows made it easier to recognize,2,2,6,"I was looking at the end result, I was confused at the beginning I think I answered incorrectly.",It's too many steps and quite complicated,2,2,6,Too many appliances to keep track off.  It's a bit difficult to choose which ones should stay on or off,Not very user friendly,"First I read each line of items to be sure of what I was looking for was there and it's function.  I continued on to be sure that function was kept the same until the end.  If said function was not there or changed to where it was not needed, I used that to help direct me as to what to choose.",The simpler steps and controls for fewer items.  It got a bit complicated when too many items were added on.,When too many items to were added on to change a function,"Most parts of it were , it takes a lot of reading through to get to where it does what you want it to do.",2,It was easier to read the steps,11,6,11,6,8,8,12,6,9,6,5,2,,2,2,2,2,2,1,Alexa and Google Home,"It was quite confusing at first, took me a while to understand it.",5ebe015ae70ab70008895dbd,Rules,[1],46192,1,1,"[1, 2]",112481,1,0,"[1, 2]",67789,1,0,[1],76286,1,0,"[1, 2]",8620,1,0,[8],31405,1,0,0,0,0,0,1,0,1,1,1
42,36,2020-08-17 18:48:19,2020-08-17 19:34:02,2742,1,6,1,"This one was very simple to do, because the only difference between the original program and the modified program was that the bathroom faucet would shut off when she left the bathroom, which is exactly what the wanted from a new program. ","The design interface worked well with this question because the two programs could be easily compared to one another (without a side-by-side, like I had mentioned in the first response) because of how simple they were.",3,3,2,"I think that these two programs ultimately complete the same tasks that are needed? I had an easier time understanding the second program, but it seemed like it was getting the same job done as the original program. ","I still enjoyed that I could keep the task description window open and to the side, but I struggled telling the difference between the two programs because I had to keep switching tabs.",3,3,1,I think that the response I chose would prevent the AC from turning off every time Alice or Bobbie left the home while the other was still there because it would only automatically shut off when nobody was home. The other new program would shut the AC off when Alice left without the option to leave it on if Bobbie is still home.,"I think the interface helped with this but I still would've loved a side-by-side comparison of the programs. I am really loving that you can resize the task description and keep it open and off to the side while working, though.",3,2,4,"I think that program#1  is the best option because program 2 has a rule that doesn't include both of the other windows in it, so it could allow two windows to be open in the home instead of just one.","The pop-up windows helped me notice the rule in program#2 that doesn't account for both of the other windows, but I still found it difficult to compare all of the programs because of the formatting.",2,5,2,The program that I selected out of the 27 available was the only one to not shut off the tv as the result of an action that also prioritized shutting off the roomba over closing the window.,"I just remembered the drop-down menu on the left that allows you to open pop-ups for different programs. This helped me remember which programs I wanted to keep track of, but wasn't adequate for comparing multiple programs because of the written format.",6,1,2,"I honestly kind of felt like all three options make sense for what she wanted to accomplish, but I felt like it would take far longer than five minutes to fully suss out which answer was the best one. ",I think that the interface really did help but I wish I could've done a side by side comparison of all of the programs to see what the real intricacies of each one were.,"First, I would open the pop-up window that describes the task and what the individual wants the program to do. I would then, after reading the description, resize the window so that just the desired outcome was visible. Then, I would read through each of the program pages after selecting them from the drop-down at the top of the screen. If needed, I would pull up individual descriptions from the drop-down menu on the left so that I could compare the options a little better.",I found the window describing what the individual wanted out of the programs to be incredibly helpful. I loved that I could keep it open and off to the side throughout each task.,"I didn't really care for the size of the text of the full descriptions of each program, which made it difficult to look at the program as a whole. Also, the fact that the pop-up windows describing the programs were a different format than the full-page descriptions from the top menu was kind of irritating and unhelpful.",I thought it was kind of confusing that the top and left drop-down menus both gave the option to view the programs. I wish menu on the left-hand side had been check boxes or something that allowed me to see all of the options.,2,I didn't like the format in which the programs would appear after choosing them from button on the left side of the screen.,9,7,10,8,9,8,11,8,10,7,2,1,,4,2,1,2,2,1,"I lived with my parents for a long time and they tried using an Alexa. Overall, we thought a lot of the options were cumbersome and confusing and didn't use it to full potential because it was time consuming to set up.",,5f2066159dd35f3474ed1afc,Rules,[1],98899,1,1,"[1, 2]",253124,1,0,[1],143474,1,1,[1],172982,1,0,[1],145239,1,0,[14],262302,1,1,0,0,0,1,1,0,1,1,1
43,37,2020-08-17 18:47:54,2020-08-17 19:35:04,2830,1,1,1,The modified program does what the original program does and it added a new program,it was great as it reflected on my answers,1,2,2,The same goes are met from viewing the programs,it doesn´t hinder my ability to answer ,1,2,2,they both meet the goals,N/A,2,1,2,only program two meets the original program ,Through the spaces as showned,2,2,4,The program that best suit thr original program is the one that won´t lock the fridge door even when the guest leaves the kitchen,"it didn´t hinder my ability, ",1,1,1,Program two was able to correct what the original program lacked,None,"First, i looked at the top left corner where i first read the instructions, then i compared the original programs with each of the modified programs be it program one or two than looked out for discrepancies before choosing the program that actually corrects the error.",The instruction part,None,None,3,i had to rely on both to ascertain which was able to correct the problem faced by Alice,7,10,8,8,10,8,9,10,8,10,2,2,,6,1,1,1,2,1,Door alarm,None,5e865ed591a08928b8616e62,Property-Diff,[1],81898,1,1,[2],86661,1,0,"[1, 2]",65996,1,0,[1],169103,1,0,[2],90651,1,1,"[2, 20, 25]",196066,1,0,1,1,1,1,0,1,1,1,1
